2 100 0.001
10.001 0.00360042 -10.001 -0.00359958 
10.002 0.00720083 -10.002 -0.00719833 
10.003 0.0108004 -10.003 -0.0107962 
10.004 0.0143992 -10.004 -0.0143933 
10.005 0.0179971 -10.005 -0.0179896 
10.006 0.0215942 -10.006 -0.021585 
10.007 0.0251904 -10.007 -0.0251796 
10.008 0.0287858 -10.008 -0.0287733 
10.009 0.0323804 -10.009 -0.0323662 
10.01 0.0359742 -10.01 -0.0359583 
10.011 0.0395671 -10.011 -0.0395496 
10.012 0.0431592 -10.012 -0.04314 
10.013 0.0467504 -10.013 -0.0467296 
10.014 0.0503408 -10.014 -0.0503183 
10.015 0.0539304 -10.015 -0.0539062 
10.016 0.0575192 -10.016 -0.0574933 
10.017 0.0611071 -10.017 -0.0610796 
10.018 0.0646942 -10.018 -0.064665 
10.019 0.0682805 -10.019 -0.0682496 
10.02 0.0718659 -10.02 -0.0718334 
10.021 0.0754505 -10.021 -0.0754163 
10.022 0.0790343 -10.022 -0.0789984 
10.023 0.0826172 -10.023 -0.0825797 
10.024 0.0861993 -10.024 -0.0861601 
10.025 0.0897806 -10.025 -0.0897397 
10.026 0.093361 -10.026 -0.0933185 
10.027 0.0969406 -10.027 -0.0968965 
10.028 0.100519 -10.028 -0.100474 
10.029 0.104097 -10.029 -0.10405 
10.03 0.107675 -10.03 -0.107625 
10.031 0.111251 -10.031 -0.1112 
10.032 0.114826 -10.032 -0.114774 
10.033 0.118401 -10.033 -0.118347 
10.034 0.121975 -10.034 -0.121919 
10.035 0.125548 -10.035 -0.12549 
10.036 0.12912 -10.036 -0.129061 
10.037 0.132691 -10.037 -0.13263 
10.038 0.136262 -10.038 -0.136199 
10.039 0.139831 -10.039 -0.139767 
10.04 0.1434 -10.04 -0.143334 
10.041 0.146968 -10.041 -0.146901 
10.042 0.150535 -10.042 -0.150466 
10.043 0.154102 -10.043 -0.154031 
10.044 0.157667 -10.044 -0.157595 
10.045 0.161232 -10.045 -0.161158 
10.046 0.164796 -10.046 -0.16472 
10.047 0.168359 -10.047 -0.168281 
10.048 0.171921 -10.048 -0.171842 
10.049 0.175483 -10.049 -0.175402 
10.05 0.179043 -10.05 -0.178961 
10.051 0.182603 -10.051 -0.182519 
10.052 0.186162 -10.052 -0.186076 
10.053 0.18972 -10.053 -0.189632 
10.054 0.193277 -10.054 -0.193188 
10.055 0.196834 -10.055 -0.196743 
10.056 0.200389 -10.056 -0.200297 
10.057 0.203944 -10.057 -0.20385 
10.058 0.207498 -10.058 -0.207402 
10.059 0.211051 -10.059 -0.210954 
10.06 0.214604 -10.06 -0.214504 
10.061 0.218155 -10.061 -0.218054 
10.062 0.221706 -10.062 -0.221603 
10.063 0.225256 -10.063 -0.225152 
10.064 0.228805 -10.064 -0.228699 
10.065 0.232353 -10.065 -0.232245 
10.066 0.2359 -10.066 -0.235791 
10.067 0.239447 -10.067 -0.239336 
10.068 0.242993 -10.068 -0.24288 
10.069 0.246537 -10.069 -0.246423 
10.07 0.250082 -10.07 -0.249966 
10.071 0.253625 -10.071 -0.253507 
10.072 0.257167 -10.072 -0.257048 
10.073 0.260709 -10.073 -0.260588 
10.074 0.26425 -10.074 -0.264127 
10.075 0.26779 -10.075 -0.267666 
10.076 0.271329 -10.076 -0.271203 
10.077 0.274867 -10.077 -0.27474 
10.078 0.278405 -10.078 -0.278276 
10.079 0.281941 -10.079 -0.281811 
10.08 0.285477 -10.08 -0.285345 
10.081 0.289012 -10.081 -0.288878 
10.082 0.292547 -10.082 -0.292411 
10.083 0.29608 -10.083 -0.295943 
10.084 0.299613 -10.084 -0.299474 
10.085 0.303144 -10.085 -0.303004 
10.086 0.306675 -10.086 -0.306533 
10.087 0.310206 -10.087 -0.310062 
10.088 0.313735 -10.088 -0.313589 
10.089 0.317263 -10.089 -0.317116 
10.09 0.320791 -10.09 -0.320642 
10.091 0.324318 -10.091 -0.324167 
10.092 0.327844 -10.092 -0.327692 
10.093 0.331369 -10.093 -0.331215 
10.094 0.334894 -10.094 -0.334738 
10.095 0.338417 -10.095 -0.33826 
10.096 0.34194 -10.096 -0.341781 
10.097 0.345462 -10.097 -0.345301 
10.098 0.348983 -10.098 -0.348821 
10.099 0.352504 -10.099 -0.35234 
10.1 0.356023 -10.1 -0.355857 
10.101 0.359542 -10.1009 -0.359375 
10.1019 0.36306 -10.1019 -0.362891 
10.1029 0.366577 -10.1029 -0.366406 
10.1039 0.370093 -10.1039 -0.369921 
10.1049 0.373608 -10.1049 -0.373435 
10.1059 0.377123 -10.1059 -0.376948 
10.1069 0.380637 -10.1069 -0.38046 
10.1079 0.38415 -10.1079 -0.383971 
10.1089 0.387662 -10.1089 -0.387481 
10.1099 0.391173 -10.1099 -0.390991 
10.1109 0.394684 -10.1109 -0.3945 
10.1119 0.398194 -10.1119 -0.398008 
10.1129 0.401703 -10.1129 -0.401515 
10.1139 0.405211 -10.1139 -0.405022 
10.1149 0.408718 -10.1149 -0.408527 
10.1159 0.412224 -10.1159 -0.412032 
10.1169 0.41573 -10.1169 -0.415536 
10.1179 0.419235 -10.1179 -0.41904 
10.1189 0.422739 -10.1189 -0.422542 
10.1199 0.426242 -10.1199 -0.426043 
10.1209 0.429745 -10.1209 -0.429544 
10.1219 0.433246 -10.1219 -0.433044 
10.1229 0.436747 -10.1229 -0.436543 
10.1239 0.440247 -10.1239 -0.440042 
10.1249 0.443746 -10.1249 -0.443539 
10.1259 0.447245 -10.1259 -0.447036 
10.1269 0.450742 -10.1269 -0.450532 
10.1279 0.454239 -10.1279 -0.454027 
10.1289 0.457735 -10.1289 -0.457521 
10.1299 0.46123 -10.1299 -0.461014 
10.1309 0.464724 -10.1309 -0.464507 
10.1319 0.468218 -10.1319 -0.467999 
10.1329 0.47171 -10.1329 -0.47149 
10.1339 0.475202 -10.1339 -0.47498 
10.1349 0.478693 -10.1349 -0.47847 
10.1359 0.482183 -10.1359 -0.481958 
10.1369 0.485673 -10.1369 -0.485446 
10.1379 0.489162 -10.1379 -0.488933 
10.1389 0.492649 -10.1389 -0.492419 
10.1399 0.496136 -10.1399 -0.495904 
10.1409 0.499623 -10.1409 -0.499389 
10.1419 0.503108 -10.1419 -0.502873 
10.1429 0.506593 -10.1429 -0.506356 
10.1439 0.510076 -10.1439 -0.509838 
10.1449 0.513559 -10.1449 -0.513319 
10.1459 0.517041 -10.1458 -0.5168 
10.1468 0.520523 -10.1468 -0.520279 
10.1478 0.524003 -10.1478 -0.523758 
10.1488 0.527483 -10.1488 -0.527236 
10.1498 0.530962 -10.1498 -0.530714 
10.1508 0.53444 -10.1508 -0.53419 
10.1518 0.537917 -10.1518 -0.537666 
10.1528 0.541394 -10.1528 -0.541141 
10.1538 0.54487 -10.1538 -0.544615 
10.1548 0.548345 -10.1548 -0.548088 
10.1558 0.551819 -10.1558 -0.55156 
10.1568 0.555292 -10.1568 -0.555032 
10.1578 0.558764 -10.1578 -0.558503 
10.1588 0.562236 -10.1588 -0.561973 
10.1598 0.565707 -10.1598 -0.565442 
10.1608 0.569177 -10.1608 -0.56891 
10.1618 0.572646 -10.1618 -0.572378 
10.1628 0.576115 -10.1628 -0.575845 
10.1638 0.579582 -10.1638 -0.579311 
10.1648 0.583049 -10.1648 -0.582776 
10.1658 0.586515 -10.1658 -0.58624 
10.1668 0.589981 -10.1668 -0.589704 
10.1678 0.593445 -10.1678 -0.593167 
10.1688 0.596909 -10.1688 -0.596629 
10.1698 0.600372 -10.1698 -0.60009 
10.1708 0.603834 -10.1708 -0.60355 
10.1718 0.607295 -10.1718 -0.60701 
10.1728 0.610755 -10.1728 -0.610469 
10.1737 0.614215 -10.1737 -0.613927 
10.1747 0.617674 -10.1747 -0.617384 
10.1757 0.621132 -10.1757 -0.62084 
10.1767 0.624589 -10.1767 -0.624296 
10.1777 0.628045 -10.1777 -0.627751 
10.1787 0.631501 -10.1787 -0.631205 
10.1797 0.634956 -10.1797 -0.634658 
10.1807 0.63841 -10.1807 -0.63811 
10.1817 0.641863 -10.1817 -0.641562 
10.1827 0.645316 -10.1827 -0.645013 
10.1837 0.648767 -10.1837 -0.648462 
10.1847 0.652218 -10.1847 -0.651912 
10.1857 0.655668 -10.1857 -0.65536 
10.1867 0.659117 -10.1867 -0.658808 
10.1877 0.662566 -10.1877 -0.662254 
10.1887 0.666013 -10.1887 -0.6657 
10.1897 0.66946 -10.1897 -0.669146 
10.1907 0.672906 -10.1907 -0.67259 
10.1917 0.676351 -10.1917 -0.676033 
10.1927 0.679796 -10.1927 -0.679476 
10.1937 0.683239 -10.1936 -0.682918 
10.1946 0.686682 -10.1946 -0.686359 
10.1956 0.690124 -10.1956 -0.6898 
10.1966 0.693566 -10.1966 -0.693239 
10.1976 0.697006 -10.1976 -0.696678 
10.1986 0.700446 -10.1986 -0.700116 
10.1996 0.703884 -10.1996 -0.703553 
10.2006 0.707323 -10.2006 -0.70699 
10.2016 0.71076 -10.2016 -0.710425 
10.2026 0.714196 -10.2026 -0.71386 
10.2036 0.717632 -10.2036 -0.717294 
10.2046 0.721067 -10.2046 -0.720727 
10.2056 0.724501 -10.2056 -0.72416 
10.2066 0.727934 -10.2066 -0.727592 
10.2076 0.731367 -10.2076 -0.731022 
10.2086 0.734798 -10.2086 -0.734452 
10.2096 0.738229 -10.2096 -0.737882 
10.2106 0.741659 -10.2106 -0.74131 
10.2115 0.745089 -10.2115 -0.744738 
10.2125 0.748517 -10.2125 -0.748165 
10.2135 0.751945 -10.2135 -0.751591 
10.2145 0.755372 -10.2145 -0.755016 
10.2155 0.758798 -10.2155 -0.758441 
10.2165 0.762223 -10.2165 -0.761864 
10.2175 0.765648 -10.2175 -0.765287 
10.2185 0.769072 -10.2185 -0.768709 
10.2195 0.772495 -10.2195 -0.772131 
10.2205 0.775917 -10.2205 -0.775551 
10.2215 0.779338 -10.2215 -0.778971 
10.2225 0.782759 -10.2225 -0.78239 
10.2235 0.786179 -10.2235 -0.785808 
10.2245 0.789598 -10.2245 -0.789225 
10.2255 0.793016 -10.2254 -0.792642 
10.2264 0.796433 -10.2264 -0.796058 
10.2274 0.79985 -10.2274 -0.799473 
10.2284 0.803266 -10.2284 -0.802887 
10.2294 0.806681 -10.2294 -0.8063 
10.2304 0.810095 -10.2304 -0.809713 
10.2314 0.813508 -10.2314 -0.813125 
10.2324 0.816921 -10.2324 -0.816536 
10.2334 0.820333 -10.2334 -0.819946 
10.2344 0.823744 -10.2344 -0.823355 
10.2354 0.827154 -10.2354 -0.826764 
10.2364 0.830564 -10.2364 -0.830172 
10.2374 0.833973 -10.2374 -0.833579 
10.2384 0.837381 -10.2384 -0.836985 
10.2393 0.840788 -10.2393 -0.840391 
10.2403 0.844194 -10.2403 -0.843796 
10.2413 0.8476 -10.2413 -0.8472 
10.2423 0.851005 -10.2423 -0.850603 
10.2433 0.854409 -10.2433 -0.854005 
10.2443 0.857812 -10.2443 -0.857407 
10.2453 0.861214 -10.2453 -0.860807 
10.2463 0.864616 -10.2463 -0.864207 
10.2473 0.868017 -10.2473 -0.867607 
10.2483 0.871417 -10.2483 -0.871005 
10.2493 0.874816 -10.2493 -0.874403 
10.2503 0.878215 -10.2503 -0.8778 
10.2512 0.881612 -10.2512 -0.881196 
10.2522 0.885009 -10.2522 -0.884591 
10.2532 0.888405 -10.2532 -0.887985 
10.2542 0.891801 -10.2542 -0.891379 
10.2552 0.895195 -10.2552 -0.894772 
10.2562 0.898589 -10.2562 -0.898164 
10.2572 0.901982 -10.2572 -0.901556 
10.2582 0.905374 -10.2582 -0.904946 
10.2592 0.908766 -10.2592 -0.908336 
10.2602 0.912157 -10.2602 -0.911725 
10.2612 0.915546 -10.2611 -0.915113 
10.2621 0.918936 -10.2621 -0.918501 
10.2631 0.922324 -10.2631 -0.921887 
10.2641 0.925711 -10.2641 -0.925273 
10.2651 0.929098 -10.2651 -0.928658 
10.2661 0.932484 -10.2661 -0.932043 
10.2671 0.935869 -10.2671 -0.935426 
10.2681 0.939254 -10.2681 -0.938809 
10.2691 0.942637 -10.2691 -0.942191 
10.2701 0.94602 -10.2701 -0.945572 
