2 300 0.01
10.01 0.036 -10.01 -0.036 
10.0199 0.072 -10.0199 -0.0719999 
10.0298 0.108 -10.0298 -0.107999 
10.0396 0.143999 -10.0396 -0.143998 
10.0493 0.179997 -10.0493 -0.179996 
10.0589 0.215995 -10.0589 -0.215993 
10.0684 0.251991 -10.0684 -0.251988 
10.0779 0.287985 -10.0779 -0.287981 
10.0873 0.323978 -10.0873 -0.323973 
10.0966 0.359968 -10.0966 -0.359962 
10.1059 0.395956 -10.1059 -0.395949 
10.1151 0.431942 -10.1151 -0.431933 
10.1242 0.467924 -10.1242 -0.467914 
10.1332 0.503904 -10.1332 -0.503892 
10.1422 0.53988 -10.1422 -0.539866 
10.1511 0.575852 -10.1511 -0.575836 
10.1599 0.611821 -10.1599 -0.611803 
10.1686 0.647785 -10.1687 -0.647765 
10.1773 0.683745 -10.1773 -0.683723 
10.1859 0.719701 -10.1859 -0.719676 
10.1944 0.755651 -10.1945 -0.755624 
10.2029 0.791597 -10.2029 -0.791567 
10.2113 0.827537 -10.2113 -0.827505 
10.2196 0.863472 -10.2196 -0.863436 
10.2278 0.899401 -10.2279 -0.899362 
10.236 0.935324 -10.236 -0.935282 
10.2441 0.971241 -10.2441 -0.971196 
10.2521 1.00715 -10.2522 -1.0071 
10.2601 1.04305 -10.2601 -1.043 
10.268 1.07895 -10.268 -1.0789 
10.2758 1.11484 -10.2758 -1.11478 
10.2836 1.15072 -10.2836 -1.15066 
10.2912 1.1866 -10.2913 -1.18653 
10.2988 1.22246 -10.2989 -1.22239 
10.3064 1.25832 -10.3064 -1.25825 
10.3138 1.29417 -10.3139 -1.29409 
10.3212 1.33002 -10.3213 -1.32993 
10.3286 1.36585 -10.3286 -1.36576 
10.3358 1.40167 -10.3359 -1.40158 
10.343 1.43749 -10.3431 -1.43739 
10.3502 1.4733 -10.3502 -1.47319 
10.3572 1.50909 -10.3573 -1.50899 
10.3642 1.54488 -10.3643 -1.54477 
10.3711 1.58066 -10.3712 -1.58054 
10.378 1.61642 -10.3781 -1.6163 
10.3848 1.65218 -10.3849 -1.65205 
10.3915 1.68793 -10.3916 -1.68779 
10.3981 1.72366 -10.3982 -1.72352 
10.4047 1.75939 -10.4048 -1.75924 
10.4112 1.7951 -10.4114 -1.79495 
10.4177 1.8308 -10.4178 -1.83065 
10.4241 1.86649 -10.4242 -1.86633 
10.4304 1.90217 -10.4305 -1.90201 
10.4367 1.93784 -10.4368 -1.93767 
10.4428 1.9735 -10.443 -1.97332 
10.449 2.00914 -10.4491 -2.00896 
10.455 2.04477 -10.4552 -2.04458 
10.461 2.08039 -10.4612 -2.08019 
10.4669 2.116 -10.4671 -2.11579 
10.4728 2.15159 -10.473 -2.15138 
10.4786 2.18717 -10.4788 -2.18695 
10.4843 2.22274 -10.4845 -2.22251 
10.49 2.25829 -10.4902 -2.25806 
10.4956 2.29383 -10.4958 -2.29359 
10.5012 2.32936 -10.5013 -2.32911 
10.5066 2.36487 -10.5068 -2.36462 
10.5121 2.40037 -10.5122 -2.40011 
10.5174 2.43585 -10.5176 -2.43558 
10.5227 2.47132 -10.5229 -2.47105 
10.5279 2.50678 -10.5281 -2.50649 
10.5331 2.54222 -10.5333 -2.54193 
10.5382 2.57764 -10.5384 -2.57735 
10.5432 2.61305 -10.5435 -2.61275 
10.5482 2.64845 -10.5484 -2.64814 
10.5531 2.68383 -10.5534 -2.68351 
10.558 2.71919 -10.5582 -2.71887 
10.5628 2.75454 -10.563 -2.75421 
10.5675 2.78987 -10.5678 -2.78953 
10.5722 2.82519 -10.5724 -2.82484 
10.5768 2.86049 -10.5771 -2.86013 
10.5813 2.89578 -10.5816 -2.89541 
10.5858 2.93105 -10.5861 -2.93067 
10.5902 2.9663 -10.5905 -2.96592 
10.5946 3.00153 -10.5949 -3.00114 
10.5989 3.03675 -10.5992 -3.03635 
10.6032 3.07196 -10.6035 -3.07155 
10.6074 3.10714 -10.6077 -3.10672 
10.6115 3.14231 -10.6118 -3.14188 
10.6156 3.17746 -10.6159 -3.17703 
10.6196 3.21259 -10.6199 -3.21215 
10.6235 3.24771 -10.6239 -3.24726 
10.6274 3.28281 -10.6278 -3.28235 
10.6313 3.31789 -10.6316 -3.31742 
10.635 3.35295 -10.6354 -3.35247 
10.6388 3.38799 -10.6392 -3.38751 
10.6424 3.42302 -10.6428 -3.42252 
10.646 3.45803 -10.6464 -3.45752 
10.6496 3.49302 -10.65 -3.4925 
10.6531 3.52799 -10.6535 -3.52746 
10.6565 3.56294 -10.657 -3.56241 
10.6599 3.59787 -10.6603 -3.59733 
10.6632 3.63279 -10.6637 -3.63224 
10.6665 3.66769 -10.6669 -3.66712 
10.6697 3.70256 -10.6702 -3.70199 
10.6728 3.73742 -10.6733 -3.73684 
10.6759 3.77226 -10.6764 -3.77167 
10.679 3.80708 -10.6795 -3.80647 
10.682 3.84188 -10.6825 -3.84126 
10.6849 3.87666 -10.6854 -3.87603 
10.6878 3.91142 -10.6883 -3.91078 
10.6906 3.94616 -10.6912 -3.94551 
10.6934 3.98088 -10.6939 -3.98022 
10.6961 4.01558 -10.6967 -4.01492 
10.6988 4.05026 -10.6993 -4.04959 
10.7014 4.08492 -10.702 -4.08423 
10.7039 4.11956 -10.7045 -4.11886 
10.7064 4.15418 -10.707 -4.15347 
10.7089 4.18877 -10.7095 -4.18806 
10.7113 4.22335 -10.7119 -4.22263 
10.7136 4.25791 -10.7142 -4.25718 
10.7159 4.29245 -10.7165 -4.2917 
10.7181 4.32696 -10.7188 -4.32621 
10.7203 4.36146 -10.721 -4.36069 
10.7224 4.39593 -10.7231 -4.39516 
10.7245 4.43038 -10.7252 -4.4296 
10.7265 4.46481 -10.7273 -4.46402 
10.7285 4.49923 -10.7293 -4.49842 
10.7304 4.53361 -10.7312 -4.5328 
10.7323 4.56798 -10.7331 -4.56715 
10.7341 4.60233 -10.7349 -4.60149 
10.7359 4.63665 -10.7367 -4.6358 
10.7376 4.67095 -10.7384 -4.67009 
10.7393 4.70523 -10.7401 -4.70436 
10.7409 4.73949 -10.7417 -4.73861 
10.7425 4.77373 -10.7433 -4.77284 
10.744 4.80795 -10.7449 -4.80704 
10.7455 4.84214 -10.7463 -4.84122 
10.7469 4.87631 -10.7478 -4.87538 
10.7483 4.91046 -10.7492 -4.90952 
10.7496 4.94458 -10.7505 -4.94363 
10.7509 4.97869 -10.7518 -4.97773 
10.7521 5.01277 -10.753 -5.0118 
10.7533 5.04683 -10.7542 -5.04585 
10.7544 5.08087 -10.7554 -5.07987 
10.7555 5.11488 -10.7565 -5.11387 
10.7565 5.14887 -10.7575 -5.14785 
10.7575 5.18284 -10.7585 -5.18181 
10.7585 5.21679 -10.7595 -5.21574 
10.7593 5.25071 -10.7604 -5.24966 
10.7602 5.28461 -10.7612 -5.28354 
10.761 5.31849 -10.762 -5.31741 
10.7617 5.35234 -10.7628 -5.35125 
10.7624 5.38617 -10.7635 -5.38507 
10.7631 5.41998 -10.7642 -5.41887 
10.7637 5.45376 -10.7648 -5.45264 
10.7643 5.48752 -10.7654 -5.48639 
10.7648 5.52126 -10.7659 -5.52012 
10.7653 5.55498 -10.7664 -5.55382 
10.7657 5.58867 -10.7668 -5.5875 
10.7661 5.62234 -10.7672 -5.62116 
10.7664 5.65598 -10.7676 -5.65479 
10.7667 5.6896 -10.7679 -5.6884 
10.7669 5.7232 -10.7681 -5.72198 
10.7671 5.75677 -10.7684 -5.75554 
10.7673 5.79032 -10.7685 -5.78908 
10.7674 5.82385 -10.7687 -5.8226 
10.7675 5.85735 -10.7687 -5.85609 
10.7675 5.89083 -10.7688 -5.88955 
10.7675 5.92428 -10.7688 -5.923 
10.7674 5.95771 -10.7687 -5.95641 
10.7673 5.99112 -10.7686 -5.98981 
10.7671 6.0245 -10.7685 -6.02318 
10.7669 6.05786 -10.7683 -6.05653 
10.7667 6.0912 -10.7681 -6.08985 
10.7664 6.12451 -10.7678 -6.12315 
10.7661 6.15779 -10.7675 -6.15642 
10.7657 6.19105 -10.7672 -6.18967 
10.7653 6.22429 -10.7668 -6.2229 
10.7649 6.25751 -10.7663 -6.2561 
10.7644 6.2907 -10.7659 -6.28927 
10.7638 6.32386 -10.7653 -6.32243 
10.7633 6.357 -10.7648 -6.35556 
10.7626 6.39012 -10.7642 -6.38866 
10.762 6.42321 -10.7635 -6.42174 
10.7613 6.45628 -10.7629 -6.45479 
10.7605 6.48932 -10.7621 -6.48782 
10.7598 6.52234 -10.7614 -6.52083 
10.7589 6.55533 -10.7606 -6.55381 
10.7581 6.5883 -10.7597 -6.58677 
10.7572 6.62124 -10.7588 -6.6197 
